2,1,97.00,545.00,79.00,239.00,1.0000,-1,-1,-1
2,2,369.00,401.00,79.00,239.00,1.0000,-1,-1,-1
2,3,546.66,146.51,59.63,180.89,1.0000,-1,-1,-1
2,4,1632.40,252.62,66.53,201.73,1.0000,-1,-1,-1
2,5,1043.80,134.38,59.63,180.89,1.0000,-1,-1,-1
2,6,792.96,148.08,55.57,168.71,1.0000,-1,-1,-1
2,7,1734.86,451.56,72.48,219.49,1.0000,-1,-1,-1
2,8,1104.40,207.14,59.63,180.89,1.0000,-1,-1,-1
2,9,498.16,122.26,59.63,180.89,1.0000,-1,-1,-1
2,10,906.10,125.45,55.57,168.71,1.0000,-1,-1,-1
2,11,352.47,96.62,60.65,183.88,1.0000,-1,-1,-1
2,13,1377.00,561.00,79.00,239.00,1.0000,-1,-1,-1
2,15,871.73,117.96,63.98,193.94,1.0000,-1,-1,-1
2,16,221.93,403.88,63.98,193.94,1.0000,-1,-1,-1
2,17,1415.42,202.28,52.67,159.95,1.0000,-1,-1,-1
2,18,234.93,78.98,63.98,193.94,1.0000,-1,-1,-1
2,20,363.04,385.67,112.14,338.41,1.0000,-1,-1,-1
2,23,461.78,73.75,59.63,180.89,1.0000,-1,-1,-1
2,24,404.71,58.84,67.55,204.72,1.0000,-1,-1,-1
2,25,1796.09,204.59,61.73,187.09,1.0000,-1,-1,-1
2,26,545.00,65.00,39.00,119.00,1.0000,-1,-1,-1
2,28,498.30,41.91,41.87,127.61,1.0000,-1,-1,-1
2,30,1488.20,69.94,48.25,146.74,1.0000,-1,-1,-1
2,31,1409.00,513.00,159.00,479.00,1.0000,-1,-1,-1
2,33,1343.52,350.93,161.65,486.90,1.0000,-1,-1,-1
2,34,210.00,60.71,148.29,446.86,1.0000,-1,-1,-1
2,35,1141.45,128.89,140.60,423.74,1.0000,-1,-1,-1
2,36,296.57,43.22,210.12,632.36,1.0000,-1,-1,-1
2,37,513.16,40.40,97.49,294.47,1.0000,-1,-1,-1
2,38,807.14,135.36,73.64,222.93,1.0000,-1,-1,-1
2,39,684.96,185.25,67.55,204.72,1.0000,-1,-1,-1
2,40,43.91,205.22,213.61,642.78,1.0000,-1,-1,-1
2,41,1363.82,171.73,89.46,270.46,1.0000,-1,-1,-1
2,43,1453.62,41.05,199.24,599.67,1.0000,-1,-1,-1
3,1,97.00,545.00,79.00,239.00,1.0000,-1,-1,-1
3,2,376.22,396.65,83.44,252.41,1.0000,-1,-1,-1
3,3,546.66,146.51,59.63,180.89,1.0000,-1,-1,-1
